Data,Tipo,Ativo,Quantidade,Preço Unitário,Total
2025-09-15,Compra,CDB,1.0,1000.00,1000.00
2025-09-16,Compra,ITSA4,100,18.50,1850.00
2025-09-17,Venda,ITSA4,50,18.50,925.00
2025-09-18,Dividendo,ITSA4,,,50.25
2025-10-05,Compra,CPFE3,12,48.70,584.40
2025-10-06,Dividendo,CPFE3,,,30.00
2025-10-10,Compra,VALE3,20,56.80,1136.00
2025-10-12,Venda,VALE3,10,56.80,568.00
2025-10-15,Compra,CMIG4,50,16.80,840.00
2025-10-16,Compra,CMIG4,30,17.00,510.00
2025-10-17,Dividendo,CMIG4,,,75.00
2025-10-20,Compra,GGBR3,75,15.50,1162.50
2025-10-21,Compra,GGBR3,45,15.70,706.50
2025-10-22,Dividendo,GGBR3,,,100.00
2025-10-25,Compra,UNIP6,22,145.00,3190.00
2025-10-26,Compra,UNIP6,15,145.50,2182.50
2025-10-28,Dividendo,UNIP6,,,120.00
2025-11-01,Compra,RBRX11,100,88.50,8850.00
2025-11-02,Dividendo,RBRX11,,,250.00
2025-11-05,Compra,RBRF11,80,92.00,7360.00
2025-11-06,Compra,IRDM11,50,125.00,6250.00
2025-11-08,Compra,IRIM15,60,110.00,6600.00
2025-11-09,Compra,IRIM15,40,110.50,4420.00
2025-11-10,Compra,IRIM11,70,108.00,7560.00
2025-11-11,Compra,IRIM11,50,108.50,5425.00
2025-11-12,Compra,XPCI11,30,145.00,4350.00
2025-11-15,Compra,TAEE11,100,18.50,1850.00
2025-11-16,Compra,TAEE11,80,18.70,1496.00
2025-11-17,Compra,HGLG11,40,156.00,6240.00
2025-11-18,Compra,HGLG11,35,157.00,5495.00
2025-11-20,Compra,TRXF11,50,91.00,4550.00
2025-11-21,Compra,TRXF11,45,91.50,4117.50
2025-11-22,Compra,VISC11,25,175.00,4375.00
2025-12-01,Compra,CDB,2.0,1010.00,2020.00
2025-12-02,Compra,CDB,3.0,1015.00,3045.00
2025-12-03,Compra,CDB,1.5,1012.00,1518.00
2025-12-05,Compra,CDB,2.5,1020.00,2550.00
2025-12-10,Compra,CDB,3.5,1025.00,3587.50
2025-12-15,Compra,CDB,2.0,1030.00,2060.00
2025-12-20,Compra,CDB,1.0,1035.00,1035.00
2025-12-25,Compra,CDB,1.5,1040.00,1560.00
2025-12-28,Venda,CDB,4.0,1025.00,4100.00
2025-12-30,Dividendo,CDB,,,500.00
